 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Åretefter blev jeg fodboldlærling i Arsenal , og så havde jeg fundet min løbebane . "
1-1	Året	B-noun.time	
1-2	efter	O	
1-3	blev	B-verb.stative	
1-4	jeg	O	
1-5	fodboldlærling	B-noun.person	
1-6	i	O	
1-7	Arsenal	B-noun.institution	
1-8	,	O	
1-9	og	O	
1-10	så	O	
1-11	havde	O	
1-12	jeg	O	
1-13	fundet	B-verb.cognition	
1-14	min	O	
1-15	løbebane	B-noun.abstract	
1-16	.	O	
1-17	"	O	

#id=2
#text=Hanfik debut mod Island i maj 1986 .
2-1	Han	O	
2-2	fik	B-verb.phenomenon	
2-3	debut	B-noun.act	
2-4	mod	O	
2-5	Island	O	
2-6	i	O	
2-7	maj	B-noun.time	
2-8	1986	B-noun.time	
2-9	.	O	

#id=3
#text=Isommeren 1990 skiftede han fra Arsenal til Manchester City .
3-1	I	O	
3-2	sommeren	B-noun.time	
3-3	1990	B-noun.time	
3-4	skiftede	B-verb.act	
3-5	han	O	
3-6	fra	O	
3-7	Arsenal	B-noun.institution	
3-8	til	O	
3-9	Manchester	B-noun.institution	
3-10	City	I-noun.institution	
3-11	.	O	

#id=4
#text="Jeg er meget glad for at være i City og har forlænget min kontrakt til sommeren 1997 . "
4-1	"	O	
4-2	Jeg	O	
4-3	er	B-verb.emotion	
4-4	meget	O	
4-5	glad	B-verb.COLL	
4-6	for	B-verb.COLL	
4-7	at	O	
4-8	være	B-verb.stative	
4-9	i	O	
4-10	City	B-noun.institution	
4-11	og	O	
4-12	har	O	
4-13	forlænget	B-verb.change	
4-14	min	O	
4-15	kontrakt	B-noun.communication	
4-16	til	O	
4-17	sommeren	B-noun.time	
4-18	1997	B-noun.time	
4-19	.	O	
4-20	"	O	

#id=5
#text=Partnerskabetmed den veltrimmede veteran , 34-årige John Aldridge fra Tranmere , har skaffet flere betydningsfulde irske mål .
5-1	Partnerskabet	B-noun.relation	
5-2	med	O	
5-3	den	O	
5-4	veltrimmede	B-adj.phys	
5-5	veteran	B-noun.person	
5-6	,	O	
5-7	34-årige	B-adj.time	
5-8	John	B-noun.person	
5-9	Aldridge	I-noun.person	
5-10	fra	O	
5-11	Tranmere	B-noun.institution	
5-12	,	O	
5-13	har	O	
5-14	skaffet	B-verb.act	
5-15	flere	O	
5-16	betydningsfulde	B-adj.all	
5-17	irske	B-adj.social	
5-18	mål	B-noun.act	
5-19	.	O	

#id=6
#text=KENDERSIT JOB
6-1	KENDER	B-verb.cognition	
6-2	SIT	O	
6-3	JOB	B-noun.act	

#id=7
#text="Jeg kender mit job sammen med John .
7-1	"	O	
7-2	Jeg	O	
7-3	kender	B-verb.cognition	
7-4	mit	O	
7-5	job	B-noun.act	
7-6	sammen	O	
7-7	med	O	
7-8	John	B-noun.person	
7-9	.	O	

#id=8
#text=Viforstår hinanden godt , og jeg nyder at heade ham fri til scoring .
8-1	Vi	O	
8-2	forstår	B-verb.cognition	
8-3	hinanden	O	
8-4	godt	O	
8-5	,	O	
8-6	og	O	
8-7	jeg	O	
8-8	nyder	B-verb.emotion	
8-9	at	O	
8-10	heade	B-verb.act	
8-11	ham	O	
