 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Men senest har han været i rampelyset for sin grove optræden i "Til middag hos...", hvorfra han blev fyret efter to programmer.
1-1	Men	O	
1-2	senest	B-adj.time	
1-3	har	O	
1-4	han	O	
1-5	været	B-verb.stative	
1-6	i	O	
1-7	rampelyset	B-noun.communication	
1-8	for	O	
1-9	sin	O	
1-10	grove	B-adj.mental	
1-11	optræden	B-noun.act	
1-12	i	O	
1-13	"	O	
1-14	Til	B-noun.communication	
1-15	middag	I-noun.communication	
1-16	hos	I-noun.communication	
1-17	.	I-noun.communication	
1-18	.	I-noun.communication	
1-19	.	O	
1-20	"	O	
1-21	,	O	
1-22	hvorfra	O	
1-23	han	O	
1-24	blev	O	
1-25	fyret	B-verb.social	
1-26	efter	O	
1-27	to	O	
1-28	programmer	B-noun.communication	
1-29	.	O	

#id=2
#text=Oddset-babenJanni Christensen har sammen med Danske Spil været i Sydafrika for at besøge de smukke og luksuriøse omgivelser
2-1	Oddset	B-noun.act	
2-2	-	O	
2-3	baben	B-noun.person	
2-4	Janni	B-noun.person	
2-5	Christensen	I-noun.person	
2-6	har	O	
2-7	sammen	O	
2-8	med	O	
2-9	Danske	B-noun.institution	
2-10	Spil	I-noun.institution	
2-11	været	B-verb.stative	
2-12	i	O	
2-13	Sydafrika	B-noun.location	
2-14	for	O	
2-15	at	O	
2-16	besøge	B-verb.motion	
2-17	de	O	
2-18	smukke	B-adj.phys	
2-19	og	O	
2-20	luksuriøse	B-adj.all	
2-21	omgivelser	B-noun.location	

#id=3
#text=Lingerifirmaet Triumph stillede forleden en række næsten bare piger på parade i London  for at gøre opmærksom på, at de har nogle af verdens mest solgte produkter til de intime dele.
3-1	Lingerifirmaet	B-noun.institution	
3-2	Triumph	B-noun.institution	
3-3	stillede	B-verb.act	
3-4	forleden	B-adj.time	
3-5	en	O	
3-6	række	B-noun.person	
3-7	næsten	O	
3-8	bare	B-adj.phys	
3-9	piger	B-noun.person	
3-10	på	O	
3-11	parade	B-noun.act	
3-12	i	O	
3-13	London	B-noun.location	
3-14	for	O	
3-15	at	O	
3-16	gøre	B-noun.communication	
3-17	opmærksom	B-verb.COLL	
3-18	på	B-verb.COLL	
3-19	,	O	
3-20	at	O	
3-21	de	O	
3-22	har	B-verb.possession	
3-23	nogle	O	
3-24	af	O	
3-25	verdens	B-noun.location	
3-26	mest	O	
3-27	solgte	B-verb.possession	
3-28	produkter	B-noun.artifact	
3-29	til	O	
3-30	de	O	
3-31	intime	B-adj.all	
3-32	dele	B-noun.body	
3-33	.	O	

#id=4
#text=Fest, druk og byture Livret:
4-1	Fest	B-noun.act	
4-2	,	O	
4-3	druk	B-noun.act	
4-4	og	O	
4-5	byture	B-noun.act	
4-6	Livret	B-noun.food	
4-7	:	O	

#id=5
#text=Bagefterafholdes nytårskur for det diplomatiske korps på Christiansborg.
5-1	Bagefter	O	
5-2	afholdes	B-verb.act	
