 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=ODENSE: Først i næste uge ventes det , at TV 2 offentliggør , hvem den nye overboss på Kvægtorvet skal være .
1-1	ODENSE	B-noun.location	
1-2	:	O	
1-3	Først	O	
1-4	i	O	
1-5	næste	B-adj.time	
1-6	uge	B-noun.time	
1-7	ventes	B-verb.cognition	
1-8	det	O	
1-9	,	O	
1-10	at	O	
1-11	TV	B-noun.institution	
1-12	2	I-noun.institution	
1-13	offentliggør	B-verb.communication	
1-14	,	O	
1-15	hvem	O	
1-16	den	O	
1-17	nye	B-adj.time	
1-18	overboss	B-noun.person	
1-19	på	O	
1-20	Kvægtorvet	B-noun.building	
1-21	skal	O	
1-22	være	B-verb.stative	
1-23	.	O	

#id=2
#text=Ogden udnævnelse kan komme til at betyde , at den hidtidige direktør , Jørgen Schleimann , 63 , kommer til at gå før tiden .
2-1	Og	O	
2-2	den	O	
2-3	udnævnelse	B-noun.communication	
2-4	kan	O	
2-5	komme	B-verb.phenomenon	
2-6	til	B-verb.PARTICLE	
2-7	at	O	
2-8	betyde	B-verb.stative	
2-9	,	O	
2-10	at	O	
2-11	den	O	
2-12	hidtidige	B-adj.time	
2-13	direktør	B-noun.person	
2-14	,	O	
2-15	Jørgen	B-noun.person	
2-16	Schleimann	I-noun.person	
2-17	,	O	
2-18	63	O	
2-19	,	O	
2-20	kommer	B-verb.PARTICLE	
2-21	til	B-verb.PARTICLE	
2-22	at	O	
2-23	gå	B-verb.act	
2-24	før	O	
2-25	tiden	B-noun.time	
2-26	.	O	

#id=3
#text=Bestyrelsesformandenfor TV 2 , professor Jørn Henrik Petersen , afviser ikke , at den ny chef kan tiltræde , før Schleimanns kontrakt udløber til oktober .
3-1	Bestyrelsesformanden	B-noun.person	
3-2	for	O	
3-3	TV	B-noun.institution	
3-4	2	I-noun.institution	
3-5	,	O	
3-6	professor	B-noun.person	
3-7	Jørn	B-noun.person	
3-8	Henrik	I-noun.person	
3-9	Petersen	I-noun.person	
3-10	,	O	
3-11	afviser	B-verb.communication	
3-12	ikke	O	
3-13	,	O	
3-14	at	O	
3-15	den	O	
3-16	ny	B-adj.time	
3-17	chef	B-noun.person	
3-18	kan	O	
3-19	tiltræde	B-verb.act	
3-20	,	O	
3-21	før	O	
3-22	Schleimanns	B-noun.person	
3-23	kontrakt	B-noun.communication	
3-24	udløber	B-verb.phenomenon	
3-25	til	O	
3-26	oktober	B-noun.time	
3-27	.	O	

#id=4
